"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.000445379660132389,-0.000434997652460125,-5.71705564143874e-05,0.000412544924077664,-0.000886940066802053,-6.35078677407857e-05,-0.000234790605971252,-0.000435325780336825,-0.000209003666516121,-0.000216027043966289,-0.000495109498543727,-0.000622877313222251,-2.33922059760042e-05,6.91661523869282e-05,-0.000343138222470695,-0.000164197150296142,-4.30138953337644e-05,0.000189366997311452,-0.000372138863416789,-0.000673282560695887,8.73591643512835e-05,-0.000148882115648763,-0.000373433618533427,-0.000496381149401959,-0.000239718580526358,-0.000129111380664086,-0.000599035717298892,-0.000172709850408029,-0.000175351683573289,-0.000398146833912377
-0.0008417041928865,-0.00249737128641899,-0.00174602843094354,-0.000807678431453126,-0.00354218838227311,-0.00180506103660055,-0.00203327936958823,-0.0027177469958962,-0.00216300780869906,-0.00216714981838596,-0.00281439462864438,-0.00306806603972494,-0.00162094042848505,-0.00146830582176888,-0.00262182188748328,-0.00227082422652113,-0.00191603276897386,-0.00131134618659388,-0.00248562298094335,-0.00316450358392577,-0.00158102452294437,-0.00197926215324943,-0.00249709595989056,-0.0029060385842411,-0.00230418666251711,-0.00199114474693798,-0.00297317536768338,-0.00196478031924597,-0.00218630656711539,-0.00252726599359332
-0.00457483723176434,-0.00701378059303955,-0.00585306967656974,-0.00435898115437211,-0.008858915124104,-0.00598058901010999,-0.0061188107004832,-0.00773675787028327,-0.00663167044599297,-0.00662992985838512,-0.00791427569680853,-0.00832882525071333,-0.00557503432641383,-0.0052689518267555,-0.00768130596027409,-0.00717602440580366,-0.00645509683219983,-0.00520162516991611,-0.00717492409371981,-0.00839300878097205,-0.00573243479815658,-0.00625572180802481,-0.00714757197726594,-0.00804805596411427,-0.0069191749779029,-0.00641915685474641,-0.00806887844812109,-0.00611123409454262,-0.0068722327633675,-0.00729076496379148
-0.0105434857469019,-0.0137020429822455,-0.0121433507764242,-0.0100496932279881,-0.0164967943643553,-0.0123346324697206,-0.0122286106616544,-0.0151952150614003,-0.0133333032344475,-0.0133246569436346,-0.0155183232763012,-0.0161193249369237,-0.011669577525839,-0.0110865961788698,-0.0152110671185782,-0.0145936857562228,-0.0134072803753658,-0.0112414904141065,-0.0141518020037748,-0.016040057119405,-0.0121085481749154,-0.012713018395546,-0.0140262393436372,-0.0155949379882548,-0.0137831616316171,-0.013163978622645,-0.0155894151969977,-0.0123488671434611,-0.0139590751552936,-0.0144185153974974
-0.0187112069189989,-0.0224731154091948,-0.020551171293242,-0.0178457333016679,-0.0263420828551988,-0.0207958762594458,-0.0202844919083748,-0.0250002551519409,-0.0221857531119123,-0.0221693878561372,-0.0255375849613906,-0.0263437024275868,-0.0198447644754576,-0.018855948165133,-0.0251179461455637,-0.0244445607409364,-0.0227064952450618,-0.0193725142273978,-0.0233273415055647,-0.0260001967351209,-0.0206431604902776,-0.0212746003943891,-0.0230422930416007,-0.0254444958440713,-0.0228086776670616,-0.022155349695793,-0.0254366446086241,-0.0206008269753317,-0.0233690721404679,-0.0238253345940445
-0.029043036136982,-0.0332475456223409,-0.0310185842718567,-0.0277151045432677,-0.0382950021531488,-0.0313004791948267,-0.0302141714455954,-0.0370715687275235,-0.0331152787531447,-0.0330908206423851,-0.0378962340420864,-0.0389208772278198,-0.0300477456750407,-0.0285158744081181,-0.0373193207690851,-0.0366574535625851,-0.034293832962713,-0.0295411214708248,-0.0346234644317692,-0.0381827485397744,-0.0312758608461095,-0.0318719117998551,-0.0341139341513794,-0.0375057438246067,-0.0339150459002702,-0.0333319239589127,-0.0375268526490792,-0.0307970854057756,-0.0350337397758633,-0.0354380917766402
-0.0414983075494956,-0.0459595737964472,-0.0434927646847352,-0.0396209013455251,-0.0522752443301231,-0.0437915205396288,-0.0419570880276831,-0.0513379973254694,-0.046057672467493,-0.046025187696415,-0.052525259069142,-0.0537788972391914,-0.0422295688910656,-0.0400124834062499,-0.0517407495359929,-0.0511635520787008,-0.0481107126396165,-0.0416967075729549,-0.0479732479564606,-0.0525115081054875,-0.0439504742492689,-0.044445086580666,-0.0471719087647972,-0.0517004453353257,-0.0470322927698835,-0.0466364773475562,-0.0517886454666588,-0.042877859940879,-0.0488892000033536,-0.049192543935398
-0.0560279073422026,-0.0605470124415801,-0.0579191964462449,-0.0535186397935965,-0.0682090429244896,-0.0582114561117669,-0.0554557372822787,-0.0677283008597532,-0.0609494833276334,-0.0609094709838585,-0.0693538073362653,-0.0708452018402526,-0.0563390999124251,-0.0532921441818121,-0.0683075772701303,-0.0678902493876263,-0.0640932359050876,-0.0557857490013739,-0.0633112546093934,-0.0689133862693361,-0.0586083907760455,-0.0589347019813958,-0.0621496115255493,-0.0679531213873493,-0.0620920754719202,-0.0620088959936066,-0.0681522176163046,-0.0567851838928127,-0.0648688504190917,-0.0650241952734594
-0.0725759511165109,-0.0769495179895819,-0.0742413856018793,-0.0693576456499723,-0.0860272759531037,-0.0745016049201415,-0.0706543117411873,-0.0861712320527533,-0.0777273386675017,-0.0776806777261617,-0.0883096811154002,-0.0900466827749926,-0.0723229204439958,-0.06830087154748,-0.0869457210311611,-0.0867630426885602,-0.0821736145199451,-0.0717519293195473,-0.0805725784890973,-0.0873174179826381,-0.0751886953381416,-0.0752809961118969,-0.078982048726488,-0.0861909404053691,-0.0790273018260583,-0.0793863798777444,-0.086548383379108,-0.0724617927834984,-0.0829040418024091,-0.0828676685180456
