"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.000106768002903368,-0.000205715227599637,7.8894162097042e-05,0.000237383807951759,-0.000744460589346541,-6.50367240298593e-05,-0.000126173815593341,-0.000414762441070525,-0.00027438907911512,-0.000251440135153698,-0.000311398608757659,-0.000354700311944923,0.000195489100471254,-4.49173107488122e-05,-0.000562680022139984,-0.000429391522801031,-0.000175221829163626,7.24416479017828e-06,-0.000291776345576536,-0.000536886497122506,-0.000127465890353139,-0.000129571975116209,-0.00042113403183271,-0.000698792313286454,-0.000507680070841935,-6.57956872873173e-05,-0.000345512121519813,-0.000119088326001059,-0.000269860246146894,-0.000163318512783544
-0.00146852835713504,-0.00208862646159824,-0.00149543754839987,-0.0011354458259516,-0.00329820880361681,-0.00180783310712713,-0.00183955619332081,-0.00268094471810632,-0.00227935834563094,-0.0022303139668705,-0.00247907911069191,-0.00257764425499635,-0.00121339255574749,-0.00167449824930689,-0.0030088953238226,-0.00274494810188301,-0.00215653827467932,-0.00164394399904369,-0.00234219193773621,-0.00292299025750522,-0.00196901022841298,-0.00194448927813344,-0.00258061370504389,-0.00325642404617311,-0.00276960097714169,-0.00187532570921058,-0.00251547841894886,-0.00186862814831619,-0.00235666935460627,-0.00209915762205557
-0.00550965504394829,-0.00639909543160724,-0.00547128796889878,-0.00485556502733707,-0.00850146960206004,-0.00598474714135747,-0.00582910739040096,-0.00768211675133159,-0.00680340092285449,-0.00672344651856119,-0.00740575413169223,-0.00757816766920099,-0.00494733976189714,-0.00557739718783976,-0.00824185846246274,-0.00786512415209626,-0.00681160617888258,-0.00569922978492779,-0.00696121421112891,-0.00803289521713275,-0.00630674030422469,-0.00620373336147018,-0.00726962866589713,-0.0085507580730897,-0.00758758550177048,-0.00624456524041701,-0.00737357766120624,-0.00596741307974461,-0.0071243075349482,-0.00663923582520668
-0.0118010080875005,-0.0128632721539374,-0.0116173159324768,-0.0107286461209189,-0.0160190957165771,-0.012340276014308,-0.0118359879744819,-0.0151216445788117,-0.0135628819172023,-0.013450071692012,-0.0148191589303889,-0.0150772808934898,-0.0107958746804828,-0.011503777424684,-0.0159461170526571,-0.0154992228737544,-0.0138851558130136,-0.0119140304017197,-0.0138630445698587,-0.0155520145441674,-0.0128768532368446,-0.0126426441598385,-0.0141880237755013,-0.0162488237427627,-0.0146519765048744,-0.0129258106140862,-0.0146308293433951,-0.0121540317967672,-0.0142966625713508,-0.0135200477183967
-0.0202905231836954,-0.0214009010918925,-0.0198737507000425,-0.0187125426005019,-0.0257417404718688,-0.020803041038469,-0.0197861122935642,-0.024907488837067,-0.0224730967718628,-0.0223268537697311,-0.0246382165981338,-0.0249904777314795,-0.0187089192576084,-0.0193837963013322,-0.0260200333111745,-0.0255568262445194,-0.0233052416594282,-0.0202221257354242,-0.0229619195318961,-0.0253799473785223,-0.0216041552580199,-0.0211854511795882,-0.0232432676195243,-0.0262414059056563,-0.0238657504828441,-0.0218515708657485,-0.0241993275729495,-0.0203537293122721,-0.0237919824266786,-0.0226663915254852
-0.030931789956082,-0.0319393433796042,-0.0301872045631496,-0.0287690641304303,-0.0375725912063311,-0.0313091537875114,-0.0296104734093834,-0.0369598805233056,-0.0334585041093772,-0.0332794998958319,-0.0367924816127471,-0.0372445017273241,-0.028641353328715,-0.0291528092999449,-0.0383758939161069,-0.037959838065939,-0.0350089707022182,-0.0305641840629865,-0.0341819992976652,-0.0374293726724942,-0.032421865392572,-0.0317641771621125,-0.0343523632889513,-0.0384333920596381,-0.0351420166578488,-0.0329625052810882,-0.03600257717811,-0.0304980924237932,-0.0355391113957215,-0.0340124123104184
-0.0436775428680949,-0.0444163140652247,-0.0425074362675374,-0.0408575362646204,-0.0514322818421156,-0.043801668122457,-0.0412503268451347,-0.0512078861974282,-0.0464540368327621,-0.0462437629560902,-0.0512153723428688,-0.0517708568198758,-0.040548817814364,-0.0407549191647901,-0.0529374227372985,-0.0526366069559591,-0.0489358120859977,-0.042886380782474,-0.0474574029273858,-0.0516253715017657,-0.045270506630724,-0.0443192587056753,-0.0474455366004233,-0.0527452941949854,-0.0484083248008135,-0.0462024335923061,-0.0499723749294078,-0.04252821383595,-0.0494729405709976,-0.0474974516530172
-0.0584749327617589,-0.0587711064610169,-0.0567813423312547,-0.0549311481188139,-0.0672469780340377,-0.0582230274731637,-0.0546490761961586,-0.0675803273144661,-0.0613959315156873,-0.0611564431626095,-0.067836962783392,-0.0684982591108469,-0.0543829056425721,-0.054135424762081,-0.0696297631687423,-0.069513756117953,-0.0650210310892447,-0.0571334980601035,-0.0627230569427792,-0.0678950874411935,-0.0600899771367671,-0.0587914113020423,-0.0624560500795776,-0.0691018131128648,-0.0635959724835419,-0.0615117390539411,-0.0660399764787975,-0.056386549674666,-0.0655264195236122,-0.0630585465996524
-0.0752664240597069,-0.0749435710209936,-0.0729530275996311,-0.0709379832609901,-0.0849470319521361,-0.0745145472850974,-0.0697511870195665,-0.0860059304354491,-0.0782208471165952,-0.0779545543317577,-0.0865851728692028,-0.0873537658927036,-0.0700915882781856,-0.0692399414635595,-0.0883794631296988,-0.0885171554391344,-0.0831966975275702,-0.0732486007335548,-0.0799140110998977,-0.0861672676584874,-0.0768190819293377,-0.0751209019411779,-0.0793190093061539,-0.087430978734775,-0.0806387423398837,-0.0788277646970456,-0.0841361098029224,-0.0720159479055832,-0.0836309169889796,-0.0806306165178359
-0.0939910177647843,-0.0928736659174127,-0.0909642527152468,-0.0888221302813502,-0.104466171188313,-0.0926164294977789,-0.0865014002527978,-0.106414160313354,-0.0968656827915822,-0.0965751815949976,-0.107387498204618,-0.108264430266312,-0.087619816860725,-0.0860138040226436,-0.109115032221876,-0.109573388894646,-0.103393287225793,-0.0911731615519637,-0.0989654957120771,-0.106372482875825,-0.0953956957795812,-0.0932473974890125,-0.0979708618006985,-0.107663844613545,-0.0994723208889711,-0.0980858003222408,-0.104191720924861,-0.089359105048441,-0.103717281462061,-0.100147332898123
-0.114585949952784,-0.112501966131507,-0.110755525571865,-0.108525152329165,-0.125741456133595,-0.112468598839981,-0.104844862100207,-0.128736489222473,-0.117268309447139,-0.116956244717312,-0.130172906766876,-0.131159092186449,-0.106910609814094,-0.1044023077303,-0.131767834440673,-0.132611322605273,-0.125541650722597,-0.110847939516197,-0.119813821972556,-0.128443902688903,-0.115757748288122,-0.113110695390449,-0.11834985529151,-0.12973474788952,-0.120034651348171,-0.119220674380007,-0.126139276717846,-0.108358938789254,-0.125717402368211,-0.121542618823729
-0.136988343248005,-0.133770357061551,-0.132267317778994,-0.129987598760076,-0.148713063208198,-0.134011689938218,-0.124727570474179,-0.15290717920861,-0.139368339534511,-0.13903730776602,-0.154873048621421,-0.155969453720231,-0.127906269406921,-0.124351251261274,-0.156272435855185,-0.15756293357448,-0.149574518203676,-0.132214023667972,-0.142397219399522,-0.152317681566603,-0.137844268897376,-0.134651606709352,-0.140396506286316,-0.153581231347318,-0.142266241487398,-0.142168210287032,-0.149913694883675,-0.128959225529958,-0.149565375846517,-0.144751945053962
-0.161136472087942,-0.156622554532415,-0.155441083449909,-0.153150302691075,-0.173323819867745,-0.157187829329917,-0.146096842447184,-0.17886341763561,-0.163107581229082,-0.162760076694829,-0.181422632690371,-0.18263033291031,-0.150549472767282,-0.145807501296891,-0.182566382660486,-0.184363360276384,-0.175427256772852,-0.155213705840128,-0.166656272641225,-0.177932834937021,-0.161596122586991,-0.157812629418078,-0.16405376817973,-0.179143606198207,-0.166110162136598,-0.166866184375663,-0.175452661278888,-0.151105173435317,-0.175198008265832,-0.169713079115792
-0.186970499302008,-0.181004307630152,-0.180219907093416,-0.177955299237671,-0.199518643284627,-0.181941052635844,-0.168901614475902,-0.206544999918783,-0.188430103912209,-0.188068502483069,-0.209759204582997,-0.211079360733437,-0.174784065491373,-0.168719390501948,-0.210589680637482,-0.212950480181493,-0.203037967294555,-0.179791008696391,-0.192533930205846,-0.205230799303598,-0.186956317255462,-0.182538263692831,-0.189266877149828,-0.206364373797176,-0.191511763322466,-0.193254714170461,-0.202696454189366,-0.174743750517983,-0.20255475727022,-0.196366272775283
-0.21443272750753,-0.206863325169302,-0.206548768298954,-0.204346324550246,-0.227244058019547,-0.208217378958644,-0.193092527204419,-0.235893849163089,-0.215282030883385,-0.214908598753358,-0.239822666249076,-0.241256467695479,-0.200555502825811,-0.193036888415941,-0.24028425956424,-0.243264358855698,-0.232347188582427,-0.205891863037843,-0.219975241588215,-0.234154933033683,-0.213869960115043,-0.208775007636846,-0.215983018808286,-0.235187721511464,-0.218418273168544,-0.221276212107488,-0.23158753527951,-0.199823748669368,-0.231577371004724,-0.22465407103157
-0.243467517612493,-0.234149047987569,-0.23437451879658,-0.232268963383342,-0.256447873740122,-0.235964661819089,-0.218621840189017,-0.266853581422389,-0.243611224316514,-0.243228137789742,-0.271554794671929,-0.273103403958878,-0.227810985100685,-0.218711579400733,-0.271593574863395,-0.275246785268564,-0.263297473660287,-0.233464032500503,-0.248927007864991,-0.264650119472914,-0.242284020770482,-0.236471160998404,-0.244150971848389,-0.26555918749153,-0.246778427996621,-0.250875110931415,-0.262070126672087,-0.226295660805681,-0.262209464225837,-0.254520964091003
-0.274021045525844,-0.262812386223568,-0.263645702859618,-0.261670567141848,-0.287079015108148,-0.265132349195043,-0.245443258298713,-0.299369201039066,-0.273366987586848,-0.272976353554281,-0.304898879011219,-0.306563393801825,-0.256499388538109,-0.245696525676238,-0.304462370769984,-0.308840961485078,-0.295833006320082,-0.262456912232887,-0.27933747194148,-0.296662517257672,-0.272147045294187,-0.265576567008648,-0.273720824099015,-0.297425484949169,-0.276542206516615,-0.281997534984924,-0.294089886311481,-0.254111474365768,-0.294396168035848,-0.285913043306504
-0.306041027182574,-0.292805495556212,-0.294312331673629,-0.292500063761024,-0.319087453908312,-0.295671247709435,-0.273511742613435,-0.333386921783945,-0.304499843184121,-0.304103714852191,-0.339799490983659,-0.341580925155638,-0.286571096884445,-0.273946092018945,-0.338836562409829,-0.343991325728763,-0.329899322669747,-0.292821303016225,-0.311156098341358,-0.330139430514969,-0.303408908679743,-0.296042378339104,-0.304643787751788,-0.330734430609402,-0.307660673206478,-0.314591017666092,-0.327593701747437,-0.283224462324767,-0.328083892774772,-0.31877773644337
-0.339476483488414,-0.324081618647793,-0.32632567911434,-0.324707748011404,-0.352424191650131,-0.327533336887537,-0.302783349784477,-0.368854073721876,-0.336961392186195,-0.336561778655206,-0.376202355340558,-0.378101634327035,-0.317977812877621,-0.303415783677724,-0.374663182458506,-0.380643460042015,-0.365443135870574,-0.324509218250458,-0.34433343947159,-0.36502925047955,-0.336020636824798,-0.32782088296953,-0.336872097843454,-0.365434922106727,-0.340085901622937,-0.348604298752638,-0.362529575508238,-0.313589014783465,-0.363220187859292,-0.353063633664485
-0.374277569017276,-0.356594986948311,-0.359638126187055,-0.358245100915871,-0.387041257017159,-0.360671642192656,-0.333215115445004,-0.405719055631422,-0.37070423564618,-0.370303106234691,-0.414054280297798,-0.416072244499559,-0.350672393960223,-0.334062120786023,-0.411890353036384,-0.418744040766846,-0.402412235861046,-0.357473743076008,-0.378821063037455,-0.401281428481725,-0.369934293799017,-0.360865390984225,-0.370358963873962,-0.401476928221947,-0.373770942561347,-0.383987195717914,-0.398846565362612,-0.345160522036803,-0.399753665227112,-0.388720384755956
-0.410395460541288,-0.390300765449172,-0.394203055466531,-0.393064655383303,-0.422891700300401,-0.395040156383754,-0.364764978834277,-0.443931306447684,-0.405681933417959,-0.405281218431915,-0.453303118499131,-0.455440529969037,-0.384608728453465,-0.365842552117566,-0.450467262799723,-0.458240806931941,-0.440755434567006,-0.391668942070031,-0.414571514110587,-0.438846457150925,-0.40510291621115,-0.395130167552681,-0.405058547783416,-0.438811475428683,-0.408669810541526,-0.420690528545187,-0.436494751191497,-0.377895301705473,-0.437633957355721,-0.425698641794698
-0.447782290716142,-0.425155022640081,-0.429974785216236,-0.429119906436257,-0.459929579480349,-0.430593793564869,-0.397391737941245,-0.483441282824482,-0.441848981401434,-0.441450570964491,-0.4938977420483,-0.4961552915935,-0.419741651357619,-0.39871540071314,-0.490344142866604,-0.499082535496227,-0.480422535465718,-0.427049803051712,-0.451538293095678,-0.47767585064961,-0.44148047611695,-0.430570394950819,-0.440925951028226,-0.477390627109618,-0.444737473678121,-0.458666077679373,-0.475425212399753,-0.411750556378669,-0.476811691527977,-0.463950026816072
-0.486391111533696,-0.461114712818046,-0.466908530630624,-0.466365256483171,-0.498109939220122,-0.467288362494595,-0.43105502377275,-0.524200438638747,-0.47916079596266,-0.478766538093638,-0.535788024213469,-0.538166337615477,-0.456026891578473,-0.432639831241908,-0.531472241952098,-0.541219020149887,-0.52136431528247,-0.463572204153385,-0.489675839449794,-0.51772212275532,-0.479021859045434,-0.467142150333951,-0.477917202422707,-0.517167457863733,-0.481929841060074,-0.497866560413062,-0.515590009065316,-0.446684349268258,-0.517238471246623,-0.503427111909804
